GenderActor,words4,Ipercent,Wepercent,self
Female Actor,271.8,8.16777,1.508462,5.414634
Female Non-Actor,76.48148,4.987894,3.099274,1.609375
Male Actor,275.2,7.594477,1.780523,4.265306
Male Non-Actor,136.4396,6.209729,2.214884,2.803636
